Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
Awareness of time is awareness of time lost awareness time,0,0,0,0,1,1,1,0,0,0,0
Your glee filled normy dry humping of the most recent high profile celebrity break up is pathetic and all that is wrong with the world today,1,0,1,0,0,0,0,0,0,0,0
You guys will see what i did in the next video but its fucking horrid,1,0,1,1,0,0,0,0,1,0,0
What a fucking muppet stalker,1,0,1,0,0,0,0,0,0,0,0
I like your optimism,0,0,0,0,1,0,1,0,0,0,0
My cat is bloody lucky the rspca were not open at 3am last night fuming,1,0,1,0,1,0,0,0,0,0,0
I remember it well happy afraid positive,0,0,0,1,1,1,1,0,0,0,0
Autocorrect changes ''em ' to 'me ' which i resent greatly,1,0,1,0,0,0,0,0,0,0,0
"I mean i am not done watching the pilot , but it is nice to see a group of actors perform without story lines dripping relentless nihilism",1,0,1,0,1,0,1,0,0,0,0
I would never strategically vote for someone i do not agree with a lot of the clinton vote based on fear and negativity,1,0,1,1,0,0,0,0,0,0,0
We are in so much trouble i do not think the rev will see the funny side of our project,0,0,0,1,1,0,0,0,1,0,0
People will always get offended everyone is situation is different just because we have kids does not mean we have to settle,1,0,1,0,0,0,0,0,1,0,0
You have to find a way to top yourself glee,0,0,0,0,1,1,1,0,0,0,0
Haters you are low in self worth self righteous in your delusions you cower at the thought of change change is inevitable,1,0,1,0,0,0,0,0,0,0,0
Smile every morning to a positive head start with your clients relations,0,0,0,0,1,0,1,0,0,0,0
I saved him after ordering him to risk his life i did not panic but stayed calm and rescued him,0,0,0,0,0,0,1,0,0,0,0
Its more of a little prick than a sting    but you have to come to tennessee to get it1,0,0,0,0,0,0,0,0,0,0,0
Uggh that is really horrible you are not a bad person by any stretch of the imagination i hope this person realizes that,0,0,1,1,0,0,1,0,0,0,1
All the young people are so bitter about how the older contestants probably know how to make bakewell tarts gbbo,1,0,1,0,1,0,0,0,1,0,0
Living with depression does not mean you must be defeated by it every day is a new day and yesterday does not decide what today looks like : ),0,0,0,0,0,0,1,0,1,0,0
"In wake of fresh terror threat and sounding of alert in mumbai , praying for safety and security of everybody in the city maharashtra news",0,0,0,1,0,0,0,0,0,0,0
Tamra would f her up if she swung on tamra kelly is a piece of needstobeadmitted bully,1,0,1,0,0,0,0,0,0,0,0
"He accusd india of hr violations in kashmir but refusd to name india is role in fomenting terror in pakistan through ttp , bla and  zh",1,0,1,0,0,0,0,0,1,1,0
About 7 weeks till i can pick up my camera again though i think there is a group cemetery shoot in october i can make photography,0,1,0,0,1,0,1,0,0,0,0
Yes and cheering homecoming game,0,0,0,0,1,1,1,0,0,0,0
I was so shy freshman year this guy introduced himself to me by asking if i spoke any english,0,1,0,0,1,0,0,0,1,0,0
Love is when all your happiness and all your sadness and all your feelings are dependent on another person,0,0,0,0,0,1,1,0,0,0,1
The had a good one but then the reporter quit,0,0,0,0,0,0,0,0,0,0,0
Want to start a biker gang together when the gta online biker dlc comes out,0,1,0,0,1,0,1,0,0,0,0
Lol wow i was gon na say really haha have you seen chris or nah you dont even snap me anymore dude,1,0,1,0,1,0,0,0,0,1,0
"It�s possible changing meds is best not done while under stress difficult to tell what part of despair is circumstantial , what is drugs",0,0,0,0,0,0,0,0,1,0,0
Ive felt surprisingly gloomy about my bad scouts today : ' D but i recognize that it is all just rng and yeah i didnt spend that many gems,0,0,0,0,0,0,1,1,1,0,0
"Im also definitely still bitter about the yellow ranger not being asian , but asian representation in hollywood is essentially a shrug anyway",1,0,1,0,0,0,0,0,0,0,0
The irony is that those protesting about this kind of stuff are the orwellian nightmare they think they�re fighting against,1,0,1,0,0,0,0,0,0,0,0
Nah way that is horrible,1,0,1,0,0,0,0,0,0,0,0
I think just becz u have so much terror in pak nd urself being a leader u forgot d difference btw a leader nd terrorist,1,0,1,1,0,0,0,0,0,0,0
Angel delight is my everything,0,0,0,0,1,1,0,0,0,0,0
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate : xlzjyhg,1,1,0,0,0,0,0,0,0,0,0
In dire need of a worship session to just let go of everything,0,1,0,1,0,0,1,0,1,0,0
Brb going to sulk in bed until friday,1,0,1,0,1,0,0,1,1,0,0
I believe i am gon na start singing in my snap stories on the tractor switch it up a little bit,0,1,0,0,1,0,0,0,0,0,0
This is the first time i have been sober on my birthday in 6 years recovery sobriety sober soberissexy sobernative,0,0,0,0,1,0,1,0,0,0,0
Weak people revenge strong people forgive intelligent people ignore,1,0,0,0,0,0,1,0,0,0,0
I have a rage rage ep 2 coming out soon i shall keep you posted on it youtube youtubegaming rage,1,0,0,0,0,0,0,0,0,0,0
"I am so proud he understands this , he shows love , thought and compassion and it is not done in a clouded ",0,0,0,0,1,0,1,0,0,0,0
Why have i only just started watching glee this week i am now addicted glee gleek,0,0,0,0,1,1,0,0,0,0,0
Omg that is terrible,1,0,1,1,0,0,0,0,1,0,0
"All this from a cigarette burning in laura is hand , the angle of her chin , the purse of her lips ' ( 104 ) gorgeous transition",0,0,0,0,0,1,0,0,0,0,0
"Tomorrow will be the last episode of despair arc , so much shit is gon na happen i am not emotionally prepared ",0,1,0,1,0,0,0,0,0,0,0
"Jorge deserves it , honestly he is weak 90dayfiance",1,0,1,0,0,0,0,0,0,0,0
Modern family never fails to cheer me up especially phil,0,0,0,0,1,1,1,0,0,0,0
Sometimes i get to sit back and be proud of myself for pleasing him so well,0,0,0,0,1,1,1,0,0,0,0
Follow me on snapchat carlabtst15 snapchat,0,0,0,0,1,0,1,0,0,0,0
"Shit ' does not even begin to describe these fiery little demons straight from hell , )",1,0,1,0,0,0,0,0,0,0,0
It is way too hard not to get discouraged,1,0,0,0,0,0,0,1,1,0,0
Ditto such an amazing atmosphere philipplein cheerleaders stunt londonevents cheer,0,0,0,0,1,1,0,0,0,1,0
"Somewhere i rd a rpt tht pakis wr afraid of tsd and asked it 2 shut dn congis obliged and exposed it , hounded  to revive badlaofuri",0,0,0,0,0,0,0,0,0,0,0
"Interview preparation , i hate talking about myself , one dull subject matter yawnoff",1,0,1,1,0,0,0,0,0,0,0
Manchester derby at home,0,0,0,0,1,0,0,0,0,0,0
"It would probably be useful to more than women , but i am dealing with re-reading an article about a woman being harassed on the subway concern",1,0,1,1,0,0,0,1,0,1,0
"Yep , peeps on here always out to cheer others up i am fine , drooling at gbbo x",0,0,0,0,1,0,1,0,0,0,0
Maybe if it was transgender the media would cover it outrage,1,0,0,0,0,0,0,0,1,0,0
"Her , i want a playful relationship me , *kicks her off the couch*",0,0,0,0,1,0,0,0,0,0,0
Romero is fucking dreadful like seriously my 11 month old is better than him,1,0,1,0,0,0,0,0,0,0,0
Each day is what you make of it goals challenges business goals success photographer photography thursdaythoughts,0,0,0,0,1,0,1,0,0,0,0
Since the 'update ' my loses power nearly 40 % faster,1,0,1,0,0,0,0,0,1,0,0
"It�s taken for granted , while the misogyny in the air is treated as normal � and any angry response to it as pathological",1,0,1,0,0,0,0,0,0,0,0
"All clouded  considering using a camera , 1 ) star trails 2 ) eyepiece projection",0,1,0,0,1,0,1,0,0,0,0
Helluva lot more animated than they were for the actual game > <,0,1,0,0,1,1,1,0,0,0,0
Oh i see i have seen so many people mourn the loss that i was surprised to see your tweet i suppose same old here in sa,0,0,0,0,0,0,0,0,1,1,0
"Anger , resentment , and hatred are the destroyer of your fortune today",1,0,0,0,0,0,1,0,0,0,0
Optimism leads to success bill kerr success optimism goals,0,0,0,0,1,0,1,0,0,0,1
What a joke cut our internet off early 'by mistake ' and then do not reinstate it when we no longer need an engineer,1,0,1,0,0,0,0,0,1,0,0
"I am just a sucker for pine , i wan na rake you up , i wan na pile you down , i am just a sucker for pine fallsongs",1,0,0,0,1,0,0,0,0,0,0
So gutted i dropped one of my earrings down the sink at school,0,0,0,0,0,0,0,0,1,0,0
The quarterback ' wrecks me every  glee,0,0,0,0,1,0,1,0,0,0,0
"If this ban goes through , it will harm so many people , disabled veterans , people who have chronicpain , iamkratom",0,0,1,0,0,0,0,0,0,0,0
"Happy birthday to stephen king , a man responsible for some of the best horror of the past 40 years  and a whole bunch of the worst",0,0,0,0,1,0,0,0,0,0,0
My courage always rises at every attempt to intimidate  - Elizabeth bennett ( pride and prejudice ) quotes courage faceyourfears,0,1,0,0,0,0,1,0,0,0,1
"It is still not sunk in that im seeing joe next month , im so grateful and excited shit",0,0,0,0,1,0,1,0,0,0,0
"It is a good day at work when you get to shake jim lehrer is hand thanks , still kicking myself for being to shy to hug",0,0,0,0,1,1,0,0,0,0,0
I am so bored and fat and full and ridiculously overweight and rolls galore,0,0,1,0,0,0,0,1,1,0,0
The sunderland time line is quite funny with all the doom and gloom in facing us and the long trip to us midweek whatgoesaroundcomesaround,0,0,0,0,1,0,1,0,0,0,0
"If my luck the rest of fall goes anything like today , i think i am going to like this season bestdayever magic work",0,0,0,0,1,0,1,0,0,0,0
"Flirt , simper , pout , repeat yuck",1,0,1,0,0,0,0,0,0,0,0
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally , long before trump got into politics",1,0,1,0,0,0,0,1,0,0,0
There is this bpharm4 guy eish that guy brings anger into my life when i see him nje like darkness fills me will know,1,0,1,0,0,0,0,0,0,0,0
Soo badly want to dye my hair dark but have never been dark before soo torn,1,0,1,0,0,0,0,0,1,0,0
"Tears and eyes can dry but i wo not , i am burning like the wire in a lightbulb",1,0,0,0,0,0,0,0,0,0,0
Nor hell a fury like a woman scorned -- william congreve,1,0,0,1,0,0,0,0,0,0,0
"I agree this current , ultra-left democratic party lost a lot of members , including myself i switched to repub",0,0,0,0,0,0,0,0,0,0,0
Tried 2 get earlier flt 2day turnd away bcuz it was 2 late then agent let other pas on silvereliteleftbehind,0,0,1,0,0,0,0,0,1,0,0
Since it is a friend of pereg is i do not want to offend : ) peace,0,0,0,0,1,0,1,0,1,0,1
"I so wish you could someday come to spain with the play , i can not believe i am not going to see it sad",0,0,0,0,0,0,0,0,1,0,0
The worst customer service and lack of professionalism from this service provider phoneprovider badbusiness,1,0,1,0,0,0,0,0,1,0,0
"Val got a little too big for her hiking boots with that bakewell , the little terror gbbo",0,0,0,1,1,1,0,0,0,0,0
I am cheery now,0,0,0,0,1,1,1,0,0,0,0
Bridget jones ' baby was bloody hilarious bridgetjonesbaby,0,0,0,0,1,0,1,0,0,0,0
I had really strange and awful dreams last night i would did not even eat cheese before bed lovemysleep,1,0,1,1,1,1,0,0,1,0,0
Bts ' trilogy mv is my all time fav quite gloomy but beautiful as well,0,0,0,0,1,1,0,0,0,0,0
Brad pitt being investigated for child abuse this all just got really dark,1,0,1,0,0,0,0,0,1,0,0
Watch this amazing  broadcast by musicallyjh,0,1,0,0,1,0,1,0,0,1,0
Should i start posting photos,0,1,0,0,0,0,0,0,0,0,0
Prudence suggests that a 8+ % bump over 2-3 weeks should be viewed with skepticism media/hrc axis angry,1,0,1,0,0,0,0,0,0,0,0
"Oh ' almost with odd cheerfulness , big boss offers : ' Muzzle flash blinding accidental by the guy who became my best friend '",1,0,1,0,1,0,1,0,0,0,0
Thank you disney themed episode for letting me discover how amazing the are hilarious,0,0,0,0,1,0,0,0,0,0,0
Need a new outlet for rage,1,0,1,0,0,0,0,0,0,0,0
Watch this amazing  broadcast by musically,0,1,0,0,1,1,1,0,0,0,0
Rewatching ' Raising hope ' ( with hubs this time ) and totally forgot how hilarious it is herewego,0,0,0,0,1,1,0,0,0,0,0
Wow not heard this in forever random but great sting xph,0,0,0,0,1,0,0,0,0,0,0
So you mean �like uber but for despair for someone other than the driver ',0,0,1,0,0,0,0,0,0,0,0
If you do not love yourself  honesty is the best policy smile,0,0,0,0,1,0,1,0,0,0,1
"I am offended , i actually am",1,0,0,0,0,0,0,0,1,0,0
"In my room 101 would go russell howard , tom odell , michael buble pants nogood",1,0,1,0,0,0,0,1,1,0,0
Gaad should have stayed in london,1,0,1,0,0,0,0,0,1,0,0
May the optimism of tomorrow be your foundation for today,0,0,0,0,0,0,1,0,0,0,0
Will this be aired on radio or filmed lots of fans over the pond too wales lost,0,0,0,0,1,0,1,0,1,0,0
"And also , trying to find it on youtube is a fucking nightmare",1,0,1,0,0,0,0,0,0,0,0
"Glad to see that you are having fun in the sun water sports are always fun , challenging , and exhilarating happiness beauty",0,0,0,0,1,1,1,0,0,0,1
Spent over 2 fucking hours and still can not get that dam siva fragment on fellwinters peak mountain,1,0,1,0,0,0,0,0,0,0,0
Do you actually heely on campus bc this should scare you,0,0,0,1,0,0,0,0,0,0,0
Getsmartwitharq is a smart way to start investing and whiteicenetwork is smart source 2 start skilled manpower recruitment for ur firm,0,1,0,0,1,0,1,0,0,1,0
Omg i actually thought she was going to jump bully southpark20 southpark,0,1,0,0,0,0,0,0,0,0,0
Their whole team is limited when they are on the field,0,0,0,0,1,0,1,0,0,0,0
"Happy birthday , lost lost dharmainitiative 12years 22september2004 oceanic815",0,0,0,0,1,0,0,0,0,0,0
"Peoplelikemebecause they see the happy exterior , not the hopelessness i sometimes feel inside depression anxietyprobz",0,0,0,1,0,0,0,0,1,0,0
"This night is sparkling , do not you let it go i am wonderstruck , blushing all the way  ' valeriebot",0,0,0,0,1,1,1,0,0,1,0
The current run of superman continues to be a delight you can feel the love poured into it by everone on the creative team superman,0,0,0,0,1,1,1,0,0,0,0
People who go the speed limit irritate me,1,0,1,0,0,0,0,0,0,0,0
Ff soul blues and rock band music from the heart with soul and passion xx x X,0,0,0,0,1,0,0,0,0,0,0
Last product i buy i promise absolutely customerservice,1,1,1,0,0,0,1,0,0,0,0
O so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ,1,0,1,1,0,0,0,0,0,0,0
Huh it is always my fault is not it > : ( huff sulk,1,0,1,0,0,0,0,0,1,0,0
I know you trusted me ' his words were soft as he ignored the anger and focused on the hurt beneath ' I know i screwed up ' --,1,0,1,0,0,0,0,0,1,0,0
I have never been more anxious of a election in my life,0,0,0,1,0,0,0,0,0,0,0
"Elizabeth smith ' she said with a cheery smile ' Pleasure to meet you , sir where have you travelled from '",0,1,0,0,1,0,1,0,0,0,1
My fav movies are horror but they do not make them like they used too have not seen a great one in years,0,0,1,0,0,0,0,0,1,0,0
"James : no 500k , no 50k , no 25k , no 10k you fucked up bb18 bitter shouldof Votedfor Nicole",1,0,1,0,0,0,0,0,1,0,0
I would like to bridge the divide between right and left twitter and say that the new tweet truncating thing is fucking awful,1,0,1,0,0,0,0,0,0,0,0
I am shy x D,0,0,0,1,0,0,0,1,1,0,0
After what just happened in need to smoke,1,0,0,0,0,0,0,0,0,0,0
Hahahahahaha oh gosh you are hilarious a black man trying to keep racism alive get out of here man,1,0,1,0,1,0,1,0,0,0,0
Joes gf started singing all star and then joe got angry and was all sing it right and started angrily singing it back at her,1,0,0,0,0,0,0,0,0,0,0
Chris ate all my mac n cheese so imma eat all his taffy revenge,1,0,1,0,1,0,0,0,0,0,0
"I remember its heyday , but these ladies range in age from , i would say , mid-30s to early 70s",0,1,0,0,1,0,0,0,0,0,0
So this houses will get into my instestines and scare my poop and i shall shit my pants,1,0,1,1,0,0,0,0,0,0,0
I came to work for no reason i could have stayed in bed,1,0,0,0,0,0,0,1,1,0,0
That old lady is cray cray scared bellaissocute awe empire,0,0,0,1,0,0,0,0,0,0,0
Do rednecks intellectually intimidate you and force you to be their dancing clown,1,0,1,0,0,0,0,1,0,0,0
Hi my names anxiety and i have shaun,0,0,0,1,0,0,0,0,0,0,0
"Sometimes i like to talk about my sadness other times , i just want to be distracted by friends , laughter , shopping , eating  mhchat",0,0,1,0,0,0,0,0,1,0,0
Noo without maryberry will be awful endofanera going 2b so lost have bought a lameduck there notallaboutthemoney,1,0,1,0,0,0,0,1,0,0,0
"Ha got your book after our 'meeting ' at the starbucks in nola if josh says it is terrific , i am all in",0,1,0,0,1,0,1,0,0,0,1
"On the bright side , my music theory teacher just pocket dabbed and said , ' I know what is hip ' and walked away",0,0,0,0,1,0,0,0,0,0,0
"Well it can go one of two ways you either get over it and accept it , because it is not going to change , or you mope about --",1,1,1,0,0,0,0,0,0,0,0
"Peoplelikemebecause they see the happy exterior , not the hopelessness i sometimes feel inside depression anxiety anxietyprobz",0,0,0,1,0,0,0,0,1,0,0
Morning all of course it is sunny on this monday morning to cheerfully welcome us back to work : ),0,0,0,0,1,0,1,0,0,0,0
Thisisus has messed with my mind and now i am anticipating the next episode with apprehension and delight isthereahelplineforthis,0,1,0,0,1,0,0,0,0,0,0
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty , ignorance and just stupidity",1,0,1,0,0,0,1,0,0,0,0
God we need a new goal keeper they�re both horrific,1,0,1,0,0,0,0,1,0,0,0
Old age no hope for the rest of us destined to become deatheaters by 50 nightmare,0,0,0,1,0,0,0,0,1,0,0
"If i wanted green potatoes , a bottle with the tag still on , plus soaking wet items delivered i am winning today-sadly i did not",0,0,0,0,0,0,0,1,1,1,0
"Everybody is worried about stopping terrorism well , there is a really easy way : stop participating in it noam chomsky",0,0,0,1,0,0,1,0,0,0,0
Wow almost all the t-mobile stores in san diego are out of note7 replacements sadness i need to get mine replaced,0,0,0,0,0,0,0,1,1,0,0
I am worried that she felt safe unhappy,0,0,0,1,0,0,0,0,1,0,0
Sadly i have to go to bed now do not announce anything while i am gone thank u i love you,0,0,0,0,1,1,0,0,1,0,0
"I look at some of the average players that play at the min and pine nani , rafael , rvp ,",0,0,0,0,1,0,1,0,0,0,0
Ahs6 every 5 minutes i have been saying 'nope nope i would be gone by now ' ' M O V E ' or ' G T F O ' so thank you for the,1,0,0,0,0,0,0,0,0,0,0
"I wish , i really , truly wish , that i had just a modicum of your banter",0,1,0,0,1,0,1,0,0,0,0
Huge congratulations to nicole winning big brother 18 bb18 sorry not sorry bitter bbmichelle,1,0,1,0,1,0,1,0,0,0,0
Nothing worse than an uber driver that can not drive awful,1,0,1,0,0,0,0,0,0,0,0
"Leave it on there , rule , nimber 1 of carpet cleaning furious worsethananatomicbomb accidentlyspillbeeronthecarpet",1,0,1,0,0,0,0,0,0,0,0
Said it before and i shall say it now : america is really fortunate that black people only want equality and not revenge,0,1,0,0,1,0,0,0,0,0,0
U know ion play that shit bout my weary brother,1,0,1,0,0,0,0,0,0,0,0
Cmode grimrail made me want to eat angry bees,1,0,1,0,0,0,0,0,0,0,0
Happy birthday cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,0,0,0,0,1,1,0,0,0,0,0
"I assure you there is no laughter , but increasing anger at the costs , and arrogance of westminster",1,0,1,1,0,0,0,0,0,0,0
Why are people even debating on race inequality within our justice system like it is non existent they are just trying to aggravate us,1,0,1,0,0,0,0,0,0,0,0
"We are in contained depression only new economic engine is sustainability , say joel + vergecon newgrandstrategy",0,0,0,0,0,0,0,1,1,0,0
Solid starts by bozzelli and benevans hoping for a good start,0,1,0,0,1,0,1,0,0,0,0
Huff louder,0,0,0,0,0,0,0,1,1,0,0
"Lol i thought maybe , could not decide if there was levity or not",0,1,0,0,1,0,0,0,0,0,0
There is a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st amendment,1,0,1,0,0,0,0,0,0,0,0
It is being extremely playful,0,0,0,0,1,1,1,0,0,0,0
I love lizzy warren is latest rage against wall street,1,0,0,0,1,1,0,0,0,0,0
I do not want the pity of my instructors but i would like some understanding i am truly trying despite all circumstances that make me discouraged,1,0,0,0,0,0,0,1,0,0,0
"Communitysleepcoach : look at these narcoleptic puppies make you smile if you are human and find yourself in such odd positions , seek th�",0,0,0,0,1,1,0,0,0,0,0
Sigh* depression saddness afterellen shitsucks,1,0,1,0,0,0,0,1,1,0,0
He is spent his campaign dividing people up and pitting them against each other his message is to fear and resent the 'other ',1,0,1,1,0,0,0,0,1,0,0
Should have stopped after 'smiled ' being rude=not the same as being funny. It was just being mean bully stoppickingonwomen,1,0,1,0,0,0,0,0,1,0,0
"Vs atlanta this yr , 2 11 vs rockies and dbacks this yr. that is a combined 11 20 vs 3 atrocious teams in nl awful",1,0,1,0,0,0,0,0,0,0,0
I see i shall be hovering over the block button today with much glee,0,1,0,0,1,0,1,0,0,0,0
"Experience all plays a role in that , it is education and preparedness not fear",0,1,0,1,0,0,1,0,0,0,0
"Appointment booked between 1-6 today , waited in all day and nobody showed up , also requested a call back and never got one awful",1,0,1,0,0,0,0,0,0,0,0
As always it was indeed a wonderful experience flying with you guys today bestinbusiness delight happyme,0,0,0,0,1,0,1,0,0,1,1
Summer officially ends today sadness,0,0,0,0,0,0,0,0,1,0,0
Seriously dude buy some bubble tape for your phones snap broke another phone,1,0,1,0,0,0,0,0,0,0,0
"Be happy be who you want to be if others do not like it , then let them be happiness is a choice life is not about pleasing everybody ",0,0,0,0,1,0,1,0,0,0,0
Holy shit  what the hell happened to your lips fix that shit mtv teenmom horrible,1,0,1,0,0,0,0,0,0,0,0
"Grateful for all the hungry people in my life hungry to learn , change , grow , help , etc not sure anybody has it better",0,0,0,0,1,0,1,0,0,0,0
Final vestiges of my 90 is childhood were just dashed on the shoals of hearing a house cover of tracy chapman is 'fast car ' at the dayjob,0,0,0,0,0,0,0,0,1,0,0
Did you see the gleeful look on is face when criminal don king used the 'n ' word to denigrate blacks,1,0,1,0,1,0,0,0,0,0,0
Maybe the entire russian team will test positive for meldonium and the north americans will get to replace them,1,1,1,0,0,0,0,0,0,0,0
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked all fixed now though i hope : -/ angry annoyed,1,0,1,0,0,0,0,0,0,0,0
Do not get discouraged it is early on and it can get overwhelming keep reading and use cue cards it shall get better,0,0,0,0,1,0,1,0,0,0,0
I need a bit of gbbo to cheer me up after a terrible day,0,0,0,0,0,0,1,0,1,0,0
When says she is releasing more idinaparty tickets and you set an alarm to not miss it  fingerscrossed idina,0,1,0,0,1,0,1,0,0,0,1
He is just lucky  bad pitchers  whatever  elkracken is legit future gottawearshades letsgoyankees,1,0,1,0,0,0,1,0,0,0,0
In my dream  . They were trying to steal my kidney blackmarket whydidiwatchthat,1,0,0,1,0,0,0,0,0,0,0
I was not made for this world empath unhappy,0,0,0,0,0,0,0,0,1,0,0
"Df not be afraid to take a chance on peace , to teach peace , to live peace. Peace will be the last wordvof history pope john paul ii",0,0,0,0,1,1,1,0,0,0,1
"Some of those haters are just taught hate and not shown love there is a good quote that goes to your comment tiff , treat",1,0,0,0,0,0,0,0,1,0,0
I am  nervous about this test rip,0,1,0,1,0,0,0,0,1,0,0
"Tiangong 1 , china is first space laboratory , will come to a fiery end in late 2017 the average decommissioned satellite either burns ",0,0,0,0,0,0,0,0,0,0,0
Breezy deserve ,0,1,0,0,1,0,1,0,0,0,0
"My main hesitation to going to the plus size but if apple can get the plus to the 6 size , think of the asp jump",0,1,0,0,0,0,1,0,1,0,0
Chirp look out for them cars coming from the wesszz,0,1,0,0,0,0,0,0,0,0,0
"She is ahead in the polls and after trumps dismal performance at upcoming debate , it will be an easy win for hillary",0,1,0,0,1,0,1,0,0,0,0
"Ryan gosling and eva mendes finally , b joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love",0,0,0,0,1,1,0,0,0,0,0
"April 25th , 2010 for me keep up the good work sober prouder",0,0,0,0,1,0,1,0,0,0,1
"Hey u never know , channel 4 is version of gbbo might actually be quite good a few adverts are not the end of the world optimism",0,0,0,0,1,1,1,0,0,0,0
"I turn the game on wanting to play madden , and before i load up a game i just turn it off now",0,0,0,0,0,0,0,0,0,0,0
I was so embarrassed when she saw us i was like knvfkkjg she thinks we are stalkers n then she starts waving all cheerfully inviting us in,0,0,0,0,0,0,0,1,1,0,0
"Wow  one of my dads top favorite throwback rappers just died in a fiery car crash today in atlanta , so sad so sad",0,0,1,0,0,0,0,1,1,0,0
I can not wait for you to listen to my new single ' Mystery ' and my new album newmusic newsingle newalbum 2016 popmusic dark,0,1,0,0,1,1,0,0,0,0,0
Your future is bright remember,0,0,0,0,1,0,1,0,0,0,0
Lets start there,0,0,0,0,0,0,0,0,0,0,0
Anybody know a good place to book a show in montreal on short but not super-short notice punkrock postpunk blues,0,1,0,0,0,0,1,0,0,0,1
"Do not be afraid of the space between your dreams and reality if you can dream it , you can make it so",0,0,0,1,0,0,1,0,0,0,1
"Heart so pure and smile so bright , i love you more than the number of stars at  kindly follow me please harry �90,127",0,0,0,0,1,1,1,0,0,0,0
Finally leaving my first job soon i have been working here since i was 16. going to be kind of bitter sweet,0,0,0,0,0,0,0,0,1,0,0
"As your own lives in order to complete our amazing life journey successfully , it is there",0,0,0,0,1,0,1,0,0,1,0
Do not get me started on town centre used to go every week  not been for 18 months horrible,1,0,0,1,0,0,0,0,0,0,0
Hope i sleep no nightmare of bakewell tarts yuk gbbo,0,0,0,1,0,0,0,0,0,0,0
Will brawndo cure my depression idiocracytoday,0,0,0,0,0,0,0,0,1,0,0
Why is it that we rejoice at a birth and grieve at a funeral it is because we are not the person involved mark twain,0,0,0,0,0,0,1,0,0,0,0
"Thewordofgod taught , preached correctly will comforttheafflicted and afflictthecomfortable , it will offend and tellthetruth aboutsin",0,0,0,0,1,0,1,0,0,0,0
India will take revenge by making 3 new movies like phantom and they will be like ghus_k_maren_ge this is how indian army take revenge,1,1,1,0,0,0,1,0,0,0,0
What highlights i would imagine you will only have 30 seconds of highlights for the whole season so far venkysout,0,1,0,0,0,0,0,0,0,0,0
I dislike people who get offended by the littlest shit,1,0,1,0,0,0,0,0,0,0,0
You look adorable awe,0,0,0,0,1,1,0,0,0,0,0
